Year,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Life expectancy 
2015.0,263.0,62.0,0.01,71.27962362,65.0,1154.0,19.1,83.0,6.0,8.16,65.0,0.1,584.25921,33736494.0,17.2,17.3,0.479,10.1,65.0
2014.0,271.0,64.0,0.01,73.52358168,62.0,492.0,18.6,86.0,58.0,8.18,62.0,0.1,612.696514,327582.0,17.5,17.5,0.476,10.0,59.9
2013.0,268.0,66.0,0.01,73.21924272,64.0,430.0,18.1,89.0,62.0,8.13,64.0,0.1,631.744976,31731688.0,17.7,17.7,0.47,9.9,59.9
2012.0,272.0,69.0,0.01,78.1842153,67.0,2787.0,17.6,93.0,67.0,8.52,67.0,0.1,669.959,3696958.0,17.9,18.0,0.463,9.8,59.5
2011.0,275.0,71.0,0.01,7.097108703,68.0,3013.0,17.2,97.0,68.0,7.87,68.0,0.1,63.537231,2978599.0,18.2,18.2,0.454,9.5,59.2
2010.0,279.0,74.0,0.01,79.67936736,66.0,1989.0,16.7,102.0,66.0,9.2,66.0,0.1,553.32894,2883167.0,18.4,18.4,0.448,9.2,58.8
2009.0,281.0,77.0,0.01,56.76221682,63.0,2861.0,16.2,106.0,63.0,9.42,63.0,0.1,445.8932979,284331.0,18.6,18.7,0.434,8.9,58.6
2008.0,287.0,80.0,0.03,25.87392536,64.0,1599.0,15.7,110.0,64.0,8.33,64.0,0.1,373.3611163,2729431.0,18.8,18.9,0.433,8.7,58.1
2007.0,295.0,82.0,0.02,10.91015598,63.0,1141.0,15.2,113.0,63.0,6.73,63.0,0.1,369.835796,26616792.0,19.0,19.1,0.415,8.4,57.5
2006.0,295.0,84.0,0.03,17.17151751,64.0,1990.0,14.7,116.0,58.0,7.43,58.0,0.1,272.56377,2589345.0,19.2,19.3,0.405,8.1,57.3
2005.0,291.0,85.0,0.02,1.388647732,66.0,1296.0,14.2,118.0,58.0,8.7,58.0,0.1,25.2941299,257798.0,19.3,19.5,0.396,7.9,57.3
2004.0,293.0,87.0,0.02,15.29606643,67.0,466.0,13.8,120.0,5.0,8.79,5.0,0.1,219.1413528,24118979.0,19.5,19.7,0.381,6.8,57.0
2003.0,295.0,87.0,0.01,11.08905273,65.0,798.0,13.4,122.0,41.0,8.82,41.0,0.1,198.7285436,2364851.0,19.7,19.9,0.373,6.5,56.7
2002.0,3.0,88.0,0.01,16.88735091,64.0,2486.0,13.0,122.0,36.0,7.76,36.0,0.1,187.84595,21979923.0,19.9,2.2,0.341,6.2,56.2
2001.0,316.0,88.0,0.01,10.5747282,63.0,8762.0,12.6,122.0,35.0,7.8,33.0,0.1,117.49698,2966463.0,2.1,2.4,0.34,5.9,55.3
2000.0,321.0,88.0,0.01,10.42496,62.0,6532.0,12.2,122.0,24.0,8.2,24.0,0.1,114.56,293756.0,2.3,2.5,0.338,5.5,54.8
2015.0,74.0,0.0,4.6,364.9752287,99.0,0.0,58.0,0.0,99.0,6.0,99.0,0.1,3954.22783,28873.0,1.2,1.3,0.762,14.2,77.8
2014.0,8.0,0.0,4.51,428.7490668,98.0,0.0,57.2,1.0,98.0,5.88,98.0,0.1,4575.763787,288914.0,1.2,1.3,0.761,14.2,77.5
2013.0,84.0,0.0,4.76,430.8769785,99.0,0.0,56.5,1.0,99.0,5.66,99.0,0.1,4414.72314,289592.0,1.3,1.4,0.759,14.2,77.2
2012.0,86.0,0.0,5.14,412.4433563,99.0,9.0,55.8,1.0,99.0,5.59,99.0,0.1,4247.61438,2941.0,1.3,1.4,0.752,14.2,76.9
2011.0,88.0,0.0,5.37,437.0621,99.0,28.0,55.1,1.0,99.0,5.71,99.0,0.1,4437.17868,295195.0,1.4,1.5,0.738,13.3,76.6
